forward_layers_each_side,aft_layers_each_side,core_thickness_m,spanwise_zones_per_web,max_adjacent_layer_step,estimated_web_material_mass_kg,max_nominal_split_imbalance,max_face_D20_all_cases,max_core_D20_all_cases,status,selected
5,11,0.08,1,0,5260.913727856457,0.1921371128464342,0.028251558594535556,1.2238177806386785e-20,PASS,False
5,11,0.1,1,0,5546.564213497651,0.19171393944152793,0.027657184678552674,1.1893839803993728e-20,PASS,False
5,12,0.05,1,0,5083.206306340458,0.21090574528370043,0.01732779158802367,6.3498586748090076e-21,PASS,False
5,12,0.06,1,0,5226.0315491610545,0.2106853892178016,0.017154077633983463,6.264561884082817e-21,PASS,False
5,12,0.08,1,0,5511.682034802249,0.21024610580925973,0.01681242466777869,6.097666693377353e-21,PASS,False
5,12,0.1,1,0,5797.332520443443,0.20980871709457033,0.016478315656425904,5.935575238019827e-21,PASS,False
6,2,0.05,1,0,2847.495318660129,0.2796256029052536,49.4978297129315,2.762315320082294e-16,FAIL,False
6,2,0.06,1,0,2990.320561480726,0.27910905105243766,48.185796446489434,2.6644856787800477e-16,FAIL,False
6,2,0.08,1,0,3275.9710471219205,0.27808273862432537,45.67892844893724,2.4801024880691845e-16,FAIL,False
6,2,0.1,1,0,3561.621532763115,0.27706538245782153,43.319656314629924,2.3097077701245905e-16,FAIL,False
6,3,0.05,1,0,3098.2636256059213,0.2038379135084123,8.762808310116231,2.7039512327592242e-17,FAIL,False
6,3,0.06,1,0,3241.0888684265183,0.20352209233588942,8.584477895169774,2.6303502529222728e-17,FAIL,False
6,3,0.08,1,0,3526.739354067713,0.20289420095552846,8.239881715942325,2.4896112858703493e-17,FAIL,False
6,3,0.1,1,0,3812.389839708907,0.2022712615569499,7.9107053576768775,2.357037370834017e-17,FAIL,False
6,4,0.05,1,0,3349.031932551714,0.14147946098642572,2.428292799027871,4.829717053534798e-18,FAIL,False
6,4,0.06,1,0,3491.8571753723104,0.14130453809231025,2.3864183978647313,4.718260552024658e-18,FAIL,False
6,4,0.08,1,0,3777.5076610135047,0.14095658677107026,2.3050601761164287,4.503625334738254e-18,FAIL,False
6,4,0.1,1,0,4063.158146654699,0.1406111386904435,2.226778519432944,4.299538885591805e-18,FAIL,False
6,5,0.05,1,0,3599.8002394975056,0.08927134791614716,0.8486895692159516,1.1779509234737983e-18,FAIL,False
6,5,0.06,1,0,3742.6254823181025,0.08919753271046094,0.8357569789783498,1.1539211000231282e-18,FAIL,False
6,5,0.08,1,0,4028.2759679592973,0.08905063699942317,0.8105437528694497,1.1074389539178765e-18,FAIL,False
6,5,0.1,1,0,4313.926453600491,0.0889047127905358,0.7861731302823692,1.0629779502007227e-18,FAIL,False
6,6,0.05,1,0,3850.568546443298,0.04492177858312807,0.3432728327163569,3.495320333134536e-19,PASS,False
6,6,0.06,1,0,3993.393789263895,0.044921778583128014,0.33854634085462404,3.430876203294684e-19,PASS,False
6,6,0.08,1,0,4279.044274905089,0.044921778583128014,0.3293087428867534,3.3058141282496515e-19,PASS,False
